Qty,DigiPN,Name,Package,UnitPrice
10,768-1011-1-ND,IC USB TO PARALLEL FIFO,28-SSOP,4.05
10,296-3819-1-ND,IC QUAD 2-IN OR GATE,14-TSSOP,0.32
10,296-3806-1-ND,IC BUFF/DVR TRI-ST DUAL,20TSSOP,0.391
10,296-3757-1-ND,IC HEX INVERTER 14-TSSOP,0.32
TotalUnitPrice,5.09
Total,50.81
